source,target,first_year
diego-rivera,tsuguharu-foujita,1917
diego-rivera,dr-atl,1906
johannes-itten,paul-klee,1920
lasar-segall,otto-dix,1919
leon-underwood,henry-moore,1920
arman-manookian,arman-manookian,1920
bertalan-por,lajos-tihanyi,1909
salvador-dali,angel-planells,1918
constantin-brancusi,pablo-picasso,1904
constantin-brancusi,marcel-duchamp,1913
constantin-brancusi,man-ray,1915
constantin-brancusi,gwen-john,1904
constantin-brancusi,henri-le-fauconnier,1909
constantin-brancusi,amedeo-modigliani,1909
constantin-brancusi,jacob-epstein,1912
constantin-brancusi,chaim-soutine,1913
constantin-brancusi,theodor-pallady,1905
fernand-leger,jean-metzinger,1910
fernand-leger,albert-gleizes,1911
fernand-leger,marcel-duchamp,1912
fernand-leger,francis-picabia,1912
fernand-leger,le-corbusier,1920
fernand-leger,jacques-villon,1911
fernand-leger,henri-le-fauconnier,1909
fernand-leger,alberto-magnelli,1912
fernand-leger,marcelle-cahn,1920
fernand-leger,gustave-buchet,1920
andre-derain,pablo-picasso,1907
andre-derain,maurice-de-vlaminck,1899
andre-derain,kees-van-dongen,1905
andre-derain,henri-matisse,1899
andre-derain,iosif-iser,1910
max-ernst,jean-arp,1914
max-ernst,paul-klee,1919
max-ernst,otto-freundlich,1919
max-ernst,max-oppenheimer,1920
edward-e-simmons,childe-hassam,1914
edward-e-simmons,xavier-martinez,1914
david-alfaro-siqueiros,jose-clemente-orozco,1911
david-alfaro-siqueiros,carlos-orozco-romero,1909
david-alfaro-siqueiros,dr-atl,1914
lewis-hine,alfred-stieglitz,1910
j-c-leyendecker,norman-rockwell,1915
wyndham-lewis,edward-wadsworth,1914
wyndham-lewis,c-r-w-nevinson,1913
wyndham-lewis,david-bomberg,1912
jose-clemente-orozco,dr-atl,1914
jose-clemente-orozco,carlos-orozco-romero,1912
charles-alston,romare-bearden,1913
maynard-dixon,xavier-martinez,1902
andre-masson,jean-dubuffet,1918
jean-arp,henri-matisse,1912
jean-arp,sophie-taeuber-arp,1915
jean-arp,hans-richter,1916
jean-arp,kurt-schwitters,1918
jean-arp,marcel-janco,1919
paul-klee,gabriele-munter,1911
paul-klee,franz-stuck,1901
paul-klee,rudolf-bauer,1915
paul-klee,willi-baumeister,1919
paul-klee,jules-pascin,1903
paul-klee,heinrich-campendonk,1905
paul-klee,marcel-janco,1917
xul-solar,emilio-pettoruti,1914
man-ray,marcel-duchamp,1915
francis-picabia,marcel-duchamp,1911
francis-picabia,jacques-villon,1911
francis-picabia,serge-charchoune,1914
francis-picabia,marie-laurencin,1911
valentine-hugo,pablo-picasso,1917
edward-wadsworth,paul-nash,1910
boleslas-biegas,boleslas-biegas,1900
rene-magritte,victor-servranckx,1916
enrico-prampolini,pablo-picasso,1920
enrico-prampolini,piet-mondrian,1920
enrico-prampolini,wassily-kandinsky,1920
enrico-prampolini,jean-cocteau,1920
enrico-prampolini,gerardo-dottori,1920
le-corbusier,amedee-ozenfant,1917
le-corbusier,gustave-buchet,1920
paul-nash,ben-nicholson,1910
paul-nash,philip-wilson-steer,1893
georges-braque,pablo-picasso,1907
georges-braque,albert-marquet,1905
georges-braque,roger-de-la-fresnaye,1911
georges-braque,jean-metzinger,1908
georges-braque,otto-freundlich,1908
georges-braque,aleksandra-ekster,1912
georges-braque,marie-laurencin,1910
max-beckmann,max-liebermann,1911
max-beckmann,erich-heckel,1915
jacques-villon,marcel-duchamp,1911
jacques-villon,roger-de-la-fresnaye,1912
marcel-duchamp,henri-le-fauconnier,1912
marcel-duchamp,jean-metzinger,1911
marcel-duchamp,georges-ribemont-dessaignes,1919
marcel-duchamp,albert-gleizes,1911
marcel-duchamp,joseph-stella,1917
helene-de-beauvoir,helene-de-beauvoir,1910
yasuo-kuniyoshi,jules-pascin,1915
suzanne-valadon,maurice-utrillo,1883
louis-hayet,paul-signac,1886
emile-bernard,gustave-loiseau,1890
pierre-bonnard,edouard-vuillard,1889
pierre-bonnard,paul-serusier,1889
pierre-bonnard,felix-vallotton,1892
john-peter-russell,claude-monet,1886
john-peter-russell,henri-matisse,1897
john-peter-russell,tom-roberts,1885
maurice-denis,henri-matisse,1906
edouard-vuillard,paul-serusier,1889
edouard-vuillard,marcelle-cahn,1920
paul-serusier,jozsef-rippl-ronai,1888
paul-serusier,alexej-von-jawlensky,1907
felix-vallotton,pablo-picasso,1906
santiago-rusinol,pablo-picasso,1897
maximilien-luce,paul-signac,1887
maximilien-luce,charles-angrand,1884
roger-fry,vanessa-bell,1905
roger-fry,henri-matisse,1910
roger-fry,pablo-picasso,1910
roger-fry,eric-gill,1911
roger-fry,stanley-spencer,1912
albert-marquet,georges-rouault,1905
